year,state,month,number,date
1998,Paraiba,Janeiro,0,19980101
1999,Paraiba,Janeiro,7,19990101
2000,Paraiba,Janeiro,49,20000101
2001,Paraiba,Janeiro,32,20010101
2002,Paraiba,Janeiro,47,20020101
2003,Paraiba,Janeiro,109,20030101
2004,Paraiba,Janeiro,88,20040101
2005,Paraiba,Janeiro,55,20050101
2006,Paraiba,Janeiro,78,20060101
2007,Paraiba,Janeiro,11,20070101
2008,Paraiba,Janeiro,35,20080101
2009,Paraiba,Janeiro,35,20090101
2010,Paraiba,Janeiro,18,20100101
2011,Paraiba,Janeiro,35,20110101
2012,Paraiba,Janeiro,31,20120101
2013,Paraiba,Janeiro,28,20130101
2014,Paraiba,Janeiro,86,20140101
2015,Paraiba,Janeiro,120,20150101
2016,Paraiba,Janeiro,113,20160101
2017,Paraiba,Janeiro,55,20170101
1998,Paraiba,Fevereiro,0,19980101
1999,Paraiba,Fevereiro,22,19990101
2000,Paraiba,Fevereiro,67,20000101
2001,Paraiba,Fevereiro,8,20010101
2002,Paraiba,Fevereiro,24,20020101
2003,Paraiba,Fevereiro,46,20030101
2004,Paraiba,Fevereiro,42,20040101
2005,Paraiba,Fevereiro,77,20050101
2006,Paraiba,Fevereiro,60,20060101
2007,Paraiba,Fevereiro,32,20070101
2008,Paraiba,Fevereiro,38,20080101
2009,Paraiba,Fevereiro,21,20090101
2010,Paraiba,Fevereiro,46,20100101
2011,Paraiba,Fevereiro,8,20110101
2012,Paraiba,Fevereiro,40,20120101
2013,Paraiba,Fevereiro,9,20130101
2014,Paraiba,Fevereiro,52,20140101
2015,Paraiba,Fevereiro,58,20150101
2016,Paraiba,Fevereiro,31,20160101
2017,Paraiba,Fevereiro,60,20170101
1998,Paraiba,Mar�o,0,19980101
1999,Paraiba,Mar�o,40,19990101
2000,Paraiba,Mar�o,52,20000101
2001,Paraiba,Mar�o,12,20010101
2002,Paraiba,Mar�o,18,20020101
2003,Paraiba,Mar�o,76,20030101
2004,Paraiba,Mar�o,83,20040101
2005,Paraiba,Mar�o,84,20050101
2006,Paraiba,Mar�o,56,20060101
2007,Paraiba,Mar�o,54,20070101
2008,Paraiba,Mar�o,43,20080101
2009,Paraiba,Mar�o,57,20090101
2010,Paraiba,Mar�o,22,20100101
2011,Paraiba,Mar�o,21,20110101
2012,Paraiba,Mar�o,55,20120101
2013,Paraiba,Mar�o,18,20130101
2014,Paraiba,Mar�o,42,20140101
2015,Paraiba,Mar�o,55,20150101
2016,Paraiba,Mar�o,63,20160101
2017,Paraiba,Mar�o,43,20170101
1998,Paraiba,Abril,0,19980101
1999,Paraiba,Abril,39,19990101
2000,Paraiba,Abril,51,20000101
2001,Paraiba,Abril,43,20010101
2002,Paraiba,Abril,84,20020101
2003,Paraiba,Abril,130,20030101
2004,Paraiba,Abril,68,20040101
2005,Paraiba,Abril,22,20050101
2006,Paraiba,Abril,49,20060101
2007,Paraiba,Abril,14,20070101
2008,Paraiba,Abril,62,20080101
2009,Paraiba,Abril,80,20090101
2010,Paraiba,Abril,71,20100101
2011,Paraiba,Abril,38,20110101
2012,Paraiba,Abril,38,20120101
2013,Paraiba,Abril,72,20130101
2014,Paraiba,Abril,38,20140101
2015,Paraiba,Abril,83,20150101
2016,Paraiba,Abril,167,20160101
2017,Paraiba,Abril,77,20170101
1998,Paraiba,Maio,0,19980101
1999,Paraiba,Maio,57,19990101
2000,Paraiba,Maio,43,20000101
2001,Paraiba,Maio,26,20010101
2002,Paraiba,Maio,65,20020101
2003,Paraiba,Maio,115,20030101
2004,Paraiba,Maio,9,20040101
2005,Paraiba,Maio,125,20050101
2006,Paraiba,Maio,90,20060101
2007,Paraiba,Maio,14,20070101
2008,Paraiba,Maio,41,20080101
2009,Paraiba,Maio,117,20090101
2010,Paraiba,Maio,39,20100101
2011,Paraiba,Maio,97,20110101
2012,Paraiba,Maio,86,20120101
2013,Paraiba,Maio,85,20130101
2014,Paraiba,Maio,109,20140101
2015,Paraiba,Maio,77,20150101
2016,Paraiba,Maio,72,20160101
2017,Paraiba,Maio,49,20170101
1998,Paraiba,Junho,36,19980101
1999,Paraiba,Junho,31,19990101
2000,Paraiba,Junho,53,20000101
2001,Paraiba,Junho,43,20010101
2002,Paraiba,Junho,115,20020101
2003,Paraiba,Junho,159,20030101
2004,Paraiba,Junho,147,20040101
2005,Paraiba,Junho,114,20050101
2006,Paraiba,Junho,62,20060101
2007,Paraiba,Junho,57,20070101
2008,Paraiba,Junho,17,20080101
2009,Paraiba,Junho,105,20090101
2010,Paraiba,Junho,55,20100101
2011,Paraiba,Junho,162,20110101
2012,Paraiba,Junho,77,20120101
2013,Paraiba,Junho,52,20130101
2014,Paraiba,Junho,112,20140101
2015,Paraiba,Junho,201,20150101
2016,Paraiba,Junho,238,20160101
2017,Paraiba,Junho,169,20170101
1998,Paraiba,Julho,59,19980101
1999,Paraiba,Julho,94,19990101
2000,Paraiba,Julho,98,20000101
2001,Paraiba,Julho,122,20010101
2002,Paraiba,Julho,172,20020101
2003,Paraiba,Julho,101,20030101
2004,Paraiba,Julho,148,20040101
2005,Paraiba,Julho,155,20050101
2006,Paraiba,Julho,139,20060101
2007,Paraiba,Julho,60,20070101
2008,Paraiba,Julho,87,20080101
2009,Paraiba,Julho,34,20090101
2010,Paraiba,Julho,196,20100101
2011,Paraiba,Julho,262,20110101
2012,Paraiba,Julho,111,20120101
2013,Paraiba,Julho,168,20130101
2014,Paraiba,Julho,215,20140101
2015,Paraiba,Julho,137,20150101
2016,Paraiba,Julho,504,20160101
2017,Paraiba,Julho,891,20170101
1998,Paraiba,Agosto,42,19980101
1999,Paraiba,Agosto,938,19990101
2000,Paraiba,Agosto,849,20000101
2001,Paraiba,Agosto,342,20010101
2002,Paraiba,Agosto,1.593,20020101
2003,Paraiba,Agosto,1.896,20030101
2004,Paraiba,Agosto,1.237,20040101
2005,Paraiba,Agosto,800,20050101
2006,Paraiba,Agosto,844,20060101
2007,Paraiba,Agosto,580,20070101
2008,Paraiba,Agosto,205,20080101
2009,Paraiba,Agosto,844,20090101
2010,Paraiba,Agosto,733,20100101
2011,Paraiba,Agosto,435,20110101
2012,Paraiba,Agosto,522,20120101
2013,Paraiba,Agosto,481,20130101
2014,Paraiba,Agosto,646,20140101
2015,Paraiba,Agosto,651,20150101
2016,Paraiba,Agosto,1.01,20160101
2017,Paraiba,Agosto,987,20170101
1998,Paraiba,Setembro,61,19980101
1999,Paraiba,Setembro,878,19990101
2000,Paraiba,Setembro,381,20000101
2001,Paraiba,Setembro,258,20010101
2002,Paraiba,Setembro,1.071,20020101
2003,Paraiba,Setembro,2.446,20030101
2004,Paraiba,Setembro,1.36,20040101
2005,Paraiba,Setembro,386,20050101
2006,Paraiba,Setembro,866,20060101
2007,Paraiba,Setembro,960,20070101
2008,Paraiba,Setembro,413,20080101
2009,Paraiba,Setembro,149,20090101
2010,Paraiba,Setembro,270,20100101
2011,Paraiba,Setembro,913,20110101
2012,Paraiba,Setembro,459,20120101
2013,Paraiba,Setembro,476,20130101
2014,Paraiba,Setembro,443,20140101
2015,Paraiba,Setembro,599,20150101
2016,Paraiba,Setembro,1.371,20160101
2017,Paraiba,Setembro,1.706,20170101
1998,Paraiba,Outubro,61,19980101
1999,Paraiba,Outubro,452,19990101
2000,Paraiba,Outubro,658,20000101
2001,Paraiba,Outubro,209,20010101
2002,Paraiba,Outubro,399,20020101
2003,Paraiba,Outubro,1.228,20030101
2004,Paraiba,Outubro,666,20040101
2005,Paraiba,Outubro,157,20050101
2006,Paraiba,Outubro,327,20060101
2007,Paraiba,Outubro,194,20070101
2008,Paraiba,Outubro,78,20080101
2009,Paraiba,Outubro,424,20090101
2010,Paraiba,Outubro,230,20100101
2011,Paraiba,Outubro,256,20110101
2012,Paraiba,Outubro,145,20120101
2013,Paraiba,Outubro,233,20130101
2014,Paraiba,Outubro,411,20140101
2015,Paraiba,Outubro,158,20150101
2016,Paraiba,Outubro,193,20160101
2017,Paraiba,Outubro,134,20170101
1998,Paraiba,Novembro,143,19980101
1999,Paraiba,Novembro,447,19990101
2000,Paraiba,Novembro,85,20000101
2001,Paraiba,Novembro,89,20010101
2002,Paraiba,Novembro,425,20020101
2003,Paraiba,Novembro,503,20030101
2004,Paraiba,Novembro,388,20040101
2005,Paraiba,Novembro,597,20050101
2006,Paraiba,Novembro,60,20060101
2007,Paraiba,Novembro,59,20070101
2008,Paraiba,Novembro,39,20080101
2009,Paraiba,Novembro,90,20090101
2010,Paraiba,Novembro,183,20100101
2011,Paraiba,Novembro,138,20110101
2012,Paraiba,Novembro,142,20120101
2013,Paraiba,Novembro,126,20130101
2014,Paraiba,Novembro,68,20140101
2015,Paraiba,Novembro,18,20150101
2016,Paraiba,Novembro,275,20160101
2017,Paraiba,Novembro,292,20170101
1998,Paraiba,Dezembro,82,19980101
1999,Paraiba,Dezembro,254,19990101
2000,Paraiba,Dezembro,159,20000101
2001,Paraiba,Dezembro,85,20010101
2002,Paraiba,Dezembro,165,20020101
2003,Paraiba,Dezembro,171,20030101
2004,Paraiba,Dezembro,151,20040101
2005,Paraiba,Dezembro,40,20050101
2006,Paraiba,Dezembro,6,20060101
2007,Paraiba,Dezembro,22,20070101
2008,Paraiba,Dezembro,62,20080101
2009,Paraiba,Dezembro,30,20090101
2010,Paraiba,Dezembro,37,20100101
2011,Paraiba,Dezembro,78,20110101
2012,Paraiba,Dezembro,54,20120101
2013,Paraiba,Dezembro,155,20130101
2014,Paraiba,Dezembro,78,20140101
2015,Paraiba,Dezembro,30,20150101
2016,Paraiba,Dezembro,45,20160101
1998,Pernambuco,Janeiro,0,19980101
1999,Pernambuco,Janeiro,102,19990101
2000,Pernambuco,Janeiro,3,20000101
2001,Pernambuco,Janeiro,7,20010101
2002,Pernambuco,Janeiro,10,20020101
2003,Pernambuco,Janeiro,188,20030101
2004,Pernambuco,Janeiro,29,20040101
2005,Pernambuco,Janeiro,221,20050101
2006,Pernambuco,Janeiro,148,20060101
2007,Pernambuco,Janeiro,156,20070101
2008,Pernambuco,Janeiro,170,20080101
2009,Pernambuco,Janeiro,256,20090101
2010,Pernambuco,Janeiro,47,20100101
2011,Pernambuco,Janeiro,49,20110101
2012,Pernambuco,Janeiro,146,20120101
2013,Pernambuco,Janeiro,55,20130101
2014,Pernambuco,Janeiro,99,20140101
2015,Pernambuco,Janeiro,109,20150101
2016,Pernambuco,Janeiro,24,20160101
2017,Pernambuco,Janeiro,52,20170101
1998,Pernambuco,Fevereiro,0,19980101
1999,Pernambuco,Fevereiro,13,19990101
2000,Pernambuco,Fevereiro,4,20000101
2001,Pernambuco,Fevereiro,2,20010101
2002,Pernambuco,Fevereiro,19,20020101
2003,Pernambuco,Fevereiro,35,20030101
2004,Pernambuco,Fevereiro,8,20040101
2005,Pernambuco,Fevereiro,33,20050101
2006,Pernambuco,Fevereiro,41,20060101
2007,Pernambuco,Fevereiro,21,20070101
2008,Pernambuco,Fevereiro,48,20080101
2009,Pernambuco,Fevereiro,28,20090101
2010,Pernambuco,Fevereiro,33,20100101
2011,Pernambuco,Fevereiro,25,20110101
2012,Pernambuco,Fevereiro,64,20120101
2013,Pernambuco,Fevereiro,29,20130101
2014,Pernambuco,Fevereiro,25,20140101
2015,Pernambuco,Fevereiro,55,20150101
2016,Pernambuco,Fevereiro,19,20160101
2017,Pernambuco,Fevereiro,23,20170101
1998,Pernambuco,Mar�o,0,19980101
1999,Pernambuco,Mar�o,27,19990101
2000,Pernambuco,Mar�o,14,20000101
2001,Pernambuco,Mar�o,0,20010101
2002,Pernambuco,Mar�o,24,20020101
2003,Pernambuco,Mar�o,9,20030101
2004,Pernambuco,Mar�o,6,20040101
2005,Pernambuco,Mar�o,45,20050101
2006,Pernambuco,Mar�o,18,20060101
2007,Pernambuco,Mar�o,4,20070101
2008,Pernambuco,Mar�o,32,20080101
2009,Pernambuco,Mar�o,15,20090101
2010,Pernambuco,Mar�o,59,20100101
2011,Pernambuco,Mar�o,39,20110101
2012,Pernambuco,Mar�o,44,20120101
2013,Pernambuco,Mar�o,40,20130101
2014,Pernambuco,Mar�o,36,20140101
2015,Pernambuco,Mar�o,33,20150101
2016,Pernambuco,Mar�o,4,20160101
2017,Pernambuco,Mar�o,7,20170101
1998,Pernambuco,Abril,0,19980101
1999,Pernambuco,Abril,2,19990101
2000,Pernambuco,Abril,1,20000101
2001,Pernambuco,Abril,2,20010101
2002,Pernambuco,Abril,5,20020101
2003,Pernambuco,Abril,7,20030101
2004,Pernambuco,Abril,5,20040101
2005,Pernambuco,Abril,1,20050101
2006,Pernambuco,Abril,2,20060101
2007,Pernambuco,Abril,1,20070101
2008,Pernambuco,Abril,5,20080101
2009,Pernambuco,Abril,3,20090101
2010,Pernambuco,Abril,2,20100101
2011,Pernambuco,Abril,22,20110101
2012,Pernambuco,Abril,46,20120101
2013,Pernambuco,Abril,11,20130101
2014,Pernambuco,Abril,10,20140101
2015,Pernambuco,Abril,30,20150101
2016,Pernambuco,Abril,8,20160101
2017,Pernambuco,Abril,9,20170101
1998,Pernambuco,Maio,0,19980101
1999,Pernambuco,Maio,6,19990101
2000,Pernambuco,Maio,7,20000101
2001,Pernambuco,Maio,5,20010101
2002,Pernambuco,Maio,13,20020101
2003,Pernambuco,Maio,1,20030101
2004,Pernambuco,Maio,2,20040101
2005,Pernambuco,Maio,1,20050101
2006,Pernambuco,Maio,1,20060101
2007,Pernambuco,Maio,0,20070101
2008,Pernambuco,Maio,0,20080101
2009,Pernambuco,Maio,0,20090101
2010,Pernambuco,Maio,8,20100101
2011,Pernambuco,Maio,1,20110101
2012,Pernambuco,Maio,36,20120101
2013,Pernambuco,Maio,9,20130101
2014,Pernambuco,Maio,4,20140101
2015,Pernambuco,Maio,17,20150101
2016,Pernambuco,Maio,6,20160101
2017,Pernambuco,Maio,13,20170101
1998,Pernambuco,Junho,1,19980101
1999,Pernambuco,Junho,7,19990101
2000,Pernambuco,Junho,4,20000101
2001,Pernambuco,Junho,2,20010101
2002,Pernambuco,Junho,1,20020101
2003,Pernambuco,Junho,2,20030101
2004,Pernambuco,Junho,4,20040101
2005,Pernambuco,Junho,3,20050101
2006,Pernambuco,Junho,0,20060101
2007,Pernambuco,Junho,1,20070101
2008,Pernambuco,Junho,0,20080101
2009,Pernambuco,Junho,1,20090101
2010,Pernambuco,Junho,1,20100101
2011,Pernambuco,Junho,4,20110101
2012,Pernambuco,Junho,12,20120101
2013,Pernambuco,Junho,12,20130101
2014,Pernambuco,Junho,3,20140101
2015,Pernambuco,Junho,3,20150101
2016,Pernambuco,Junho,4,20160101
2017,Pernambuco,Junho,5,20170101
1998,Pernambuco,Julho,5,19980101
1999,Pernambuco,Julho,2,19990101
2000,Pernambuco,Julho,0,20000101
2001,Pernambuco,Julho,6,20010101
2002,Pernambuco,Julho,8,20020101
2003,Pernambuco,Julho,5,20030101
2004,Pernambuco,Julho,13,20040101
2005,Pernambuco,Julho,1,20050101
2006,Pernambuco,Julho,1,20060101
2007,Pernambuco,Julho,3,20070101
2008,Pernambuco,Julho,0,20080101
2009,Pernambuco,Julho,1,20090101
2010,Pernambuco,Julho,7,20100101
2011,Pernambuco,Julho,2,20110101
2012,Pernambuco,Julho,11,20120101
2013,Pernambuco,Julho,4,20130101
2014,Pernambuco,Julho,11,20140101
2015,Pernambuco,Julho,13,20150101
2016,Pernambuco,Julho,17,20160101
2017,Pernambuco,Julho,2,20170101
1998,Pernambuco,Agosto,12,19980101
1999,Pernambuco,Agosto,3,19990101
2000,Pernambuco,Agosto,31,20000101
2001,Pernambuco,Agosto,27,20010101
2002,Pernambuco,Agosto,37,20020101
2003,Pernambuco,Agosto,26,20030101
2004,Pernambuco,Agosto,41,20040101
2005,Pernambuco,Agosto,10,20050101
2006,Pernambuco,Agosto,8,20060101
2007,Pernambuco,Agosto,20,20070101
2008,Pernambuco,Agosto,2,20080101
2009,Pernambuco,Agosto,10,20090101
2010,Pernambuco,Agosto,29,20100101
2011,Pernambuco,Agosto,27,20110101
2012,Pernambuco,Agosto,27,20120101
2013,Pernambuco,Agosto,14,20130101
2014,Pernambuco,Agosto,23,20140101
2015,Pernambuco,Agosto,21,20150101
2016,Pernambuco,Agosto,42,20160101
2017,Pernambuco,Agosto,20,20170101
1998,Pernambuco,Setembro,177,19980101
1999,Pernambuco,Setembro,64,19990101
2000,Pernambuco,Setembro,130,20000101
2001,Pernambuco,Setembro,298,20010101
2002,Pernambuco,Setembro,374,20020101
2003,Pernambuco,Setembro,510,20030101
2004,Pernambuco,Setembro,192,20040101
2005,Pernambuco,Setembro,154,20050101
2006,Pernambuco,Setembro,147,20060101
2007,Pernambuco,Setembro,164,20070101
2008,Pernambuco,Setembro,92,20080101
2009,Pernambuco,Setembro,164,20090101
2010,Pernambuco,Setembro,179,20100101
2011,Pernambuco,Setembro,243,20110101
2012,Pernambuco,Setembro,192,20120101
2013,Pernambuco,Setembro,143,20130101
2014,Pernambuco,Setembro,63,20140101
2015,Pernambuco,Setembro,116,20150101
2016,Pernambuco,Setembro,171,20160101
2017,Pernambuco,Setembro,69,20170101
1998,Pernambuco,Outubro,372,19980101
1999,Pernambuco,Outubro,180,19990101
2000,Pernambuco,Outubro,411,20000101
2001,Pernambuco,Outubro,461,20010101
2002,Pernambuco,Outubro,638,20020101
2003,Pernambuco,Outubro,859,20030101
2004,Pernambuco,Outubro,545,20040101
2005,Pernambuco,Outubro,408,20050101
2006,Pernambuco,Outubro,310,20060101
2007,Pernambuco,Outubro,702,20070101
2008,Pernambuco,Outubro,274,20080101
2009,Pernambuco,Outubro,254,20090101
2010,Pernambuco,Outubro,347,20100101
2011,Pernambuco,Outubro,461,20110101
2012,Pernambuco,Outubro,222,20120101
2013,Pernambuco,Outubro,161,20130101
2014,Pernambuco,Outubro,174,20140101
2015,Pernambuco,Outubro,194,20150101
2016,Pernambuco,Outubro,319,20160101
2017,Pernambuco,Outubro,256,20170101
1998,Pernambuco,Novembro,141,19980101
1999,Pernambuco,Novembro,41,19990101
2000,Pernambuco,Novembro,64,20000101
2001,Pernambuco,Novembro,208,20010101
2002,Pernambuco,Novembro,521,20020101
2003,Pernambuco,Novembro,560,20030101
2004,Pernambuco,Novembro,465,20040101
2005,Pernambuco,Novembro,452,20050101
2006,Pernambuco,Novembro,385,20060101
2007,Pernambuco,Novembro,359,20070101
2008,Pernambuco,Novembro,363,20080101
2009,Pernambuco,Novembro,486,20090101
2010,Pernambuco,Novembro,831,20100101
2011,Pernambuco,Novembro,352,20110101
2012,Pernambuco,Novembro,181,20120101
2013,Pernambuco,Novembro,110,20130101
2014,Pernambuco,Novembro,111,20140101
2015,Pernambuco,Novembro,315,20150101
2016,Pernambuco,Novembro,191,20160101
2017,Pernambuco,Novembro,66,20170101
1998,Pernambuco,Dezembro,59,19980101
1999,Pernambuco,Dezembro,16,19990101
2000,Pernambuco,Dezembro,22,20000101
2001,Pernambuco,Dezembro,62,20010101
2002,Pernambuco,Dezembro,259,20020101
2003,Pernambuco,Dezembro,229,20030101
2004,Pernambuco,Dezembro,373,20040101
2005,Pernambuco,Dezembro,191,20050101
2006,Pernambuco,Dezembro,207,20060101
2007,Pernambuco,Dezembro,200,20070101
2008,Pernambuco,Dezembro,203,20080101
2009,Pernambuco,Dezembro,351,20090101
2010,Pernambuco,Dezembro,117,20100101
2011,Pernambuco,Dezembro,364,20110101
2012,Pernambuco,Dezembro,108,20120101
2013,Pernambuco,Dezembro,141,20130101
2014,Pernambuco,Dezembro,101,20140101
2015,Pernambuco,Dezembro,176,20150101
2016,Pernambuco,Dezembro,161,20160101
1998,Piau,Janeiro,0,19980101
1999,Piau,Janeiro,21,19990101
2000,Piau,Janeiro,5,20000101
2001,Piau,Janeiro,29,20010101
2002,Piau,Janeiro,33,20020101
2003,Piau,Janeiro,86,20030101
2004,Piau,Janeiro,42,20040101
2005,Piau,Janeiro,94,20050101
2006,Piau,Janeiro,133,20060101
2007,Piau,Janeiro,123,20070101
2008,Piau,Janeiro,61,20080101
2009,Piau,Janeiro,79,20090101
2010,Piau,Janeiro,99,20100101
2011,Piau,Janeiro,39,20110101
2012,Piau,Janeiro,80,20120101
2013,Piau,Janeiro,72,20130101
2014,Piau,Janeiro,79,20140101
2015,Piau,Janeiro,92,20150101
2016,Piau,Janeiro,94,20160101
2017,Piau,Janeiro,85,20170101
1998,Piau,Fevereiro,0,19980101
1999,Piau,Fevereiro,22,19990101
2000,Piau,Fevereiro,12,20000101
2001,Piau,Fevereiro,0,20010101
2002,Piau,Fevereiro,160,20020101
2003,Piau,Fevereiro,3,20030101
2004,Piau,Fevereiro,20,20040101
2005,Piau,Fevereiro,26,20050101
2006,Piau,Fevereiro,23,20060101
2007,Piau,Fevereiro,11,20070101
2008,Piau,Fevereiro,21,20080101
2009,Piau,Fevereiro,19,20090101
2010,Piau,Fevereiro,54,20100101
2011,Piau,Fevereiro,11,20110101
2012,Piau,Fevereiro,31,20120101
2013,Piau,Fevereiro,68,20130101
2014,Piau,Fevereiro,14,20140101
2015,Piau,Fevereiro,38,20150101
2016,Piau,Fevereiro,97,20160101
2017,Piau,Fevereiro,24,20170101
1998,Piau,Mar�o,0,19980101
1999,Piau,Mar�o,4,19990101
2000,Piau,Mar�o,14,20000101
2001,Piau,Mar�o,2,20010101
2002,Piau,Mar�o,63,20020101
2003,Piau,Mar�o,15,20030101
2004,Piau,Mar�o,27,20040101
2005,Piau,Mar�o,13,20050101
2006,Piau,Mar�o,18,20060101
2007,Piau,Mar�o,31,20070101
2008,Piau,Mar�o,4,20080101
2009,Piau,Mar�o,17,20090101
2010,Piau,Mar�o,47,20100101
2011,Piau,Mar�o,15,20110101
2012,Piau,Mar�o,71,20120101
2013,Piau,Mar�o,14,20130101
2014,Piau,Mar�o,88,20140101
2015,Piau,Mar�o,35,20150101
2016,Piau,Mar�o,53,20160101
2017,Piau,Mar�o,25,20170101
1998,Piau,Abril,0,19980101
1999,Piau,Abril,10,19990101
2000,Piau,Abril,15,20000101
2001,Piau,Abril,1,20010101
2002,Piau,Abril,87,20020101
2003,Piau,Abril,22,20030101
2004,Piau,Abril,10,20040101
2005,Piau,Abril,3,20050101
2006,Piau,Abril,1,20060101
2007,Piau,Abril,9,20070101
2008,Piau,Abril,7,20080101
2009,Piau,Abril,8,20090101
2010,Piau,Abril,56,20100101
2011,Piau,Abril,16,20110101
2012,Piau,Abril,119,20120101
2013,Piau,Abril,34,20130101
2014,Piau,Abril,63,20140101
2015,Piau,Abril,50,20150101
2016,Piau,Abril,35,20160101
2017,Piau,Abril,25,20170101
1998,Piau,Maio,0,19980101
1999,Piau,Maio,8,19990101
2000,Piau,Maio,25,20000101
2001,Piau,Maio,36,20010101
2002,Piau,Maio,84,20020101
2003,Piau,Maio,13,20030101
2004,Piau,Maio,80,20040101
2005,Piau,Maio,22,20050101
2006,Piau,Maio,0,20060101
2007,Piau,Maio,52,20070101
2008,Piau,Maio,12,20080101
2009,Piau,Maio,12,20090101
2010,Piau,Maio,231,20100101
2011,Piau,Maio,77,20110101
2012,Piau,Maio,334,20120101
2013,Piau,Maio,40,20130101
2014,Piau,Maio,138,20140101
2015,Piau,Maio,66,20150101
2016,Piau,Maio,60,20160101
2017,Piau,Maio,36,20170101
1998,Piau,Junho,46,19980101
1999,Piau,Junho,47,19990101
2000,Piau,Junho,18,20000101
2001,Piau,Junho,87,20010101
2002,Piau,Junho,161,20020101
2003,Piau,Junho,88,20030101
2004,Piau,Junho,239,20040101
2005,Piau,Junho,171,20050101
2006,Piau,Junho,40,20060101
2007,Piau,Junho,303,20070101
2008,Piau,Junho,33,20080101
2009,Piau,Junho,56,20090101
2010,Piau,Junho,208,20100101
2011,Piau,Junho,462,20110101
2012,Piau,Junho,834,20120101
2013,Piau,Junho,263,20130101
2014,Piau,Junho,373,20140101
2015,Piau,Junho,283,20150101
2016,Piau,Junho,153,20160101
2017,Piau,Junho,193,20170101
1998,Piau,Julho,189,19980101
1999,Piau,Julho,123,19990101
2000,Piau,Julho,75,20000101
2001,Piau,Julho,337,20010101
2002,Piau,Julho,534,20020101
2003,Piau,Julho,407,20030101
2004,Piau,Julho,564,20040101
2005,Piau,Julho,445,20050101
2006,Piau,Julho,150,20060101
2007,Piau,Julho,919,20070101
2008,Piau,Julho,97,20080101
2009,Piau,Julho,302,20090101
2010,Piau,Julho,1.696,20100101
2011,Piau,Julho,864,20110101
2012,Piau,Julho,1.755,20120101
2013,Piau,Julho,361,20130101
2014,Piau,Julho,1.177,20140101
2015,Piau,Julho,690,20150101
2016,Piau,Julho,754,20160101
2017,Piau,Julho,643,20170101
1998,Piau,Agosto,711,19980101
1999,Piau,Agosto,499,19990101
2000,Piau,Agosto,415,20000101
2001,Piau,Agosto,1.133,20010101
2002,Piau,Agosto,2.28,20020101
2003,Piau,Agosto,864,20030101
2004,Piau,Agosto,1.002,20040101
2005,Piau,Agosto,943,20050101
2006,Piau,Agosto,911,20060101
2007,Piau,Agosto,3.551,20070101
2008,Piau,Agosto,290,20080101
2009,Piau,Agosto,790,20090101
2010,Piau,Agosto,4.035,20100101
2011,Piau,Agosto,1.958,20110101
2012,Piau,Agosto,3.614,20120101
2013,Piau,Agosto,1.015,20130101
2014,Piau,Agosto,2.265,20140101
2015,Piau,Agosto,2.057,20150101
2016,Piau,Agosto,1.647,20160101
2017,Piau,Agosto,1.572,20170101
1998,Piau,Setembro,1.991,19980101
1999,Piau,Setembro,872,19990101
2000,Piau,Setembro,1.099,20000101
2001,Piau,Setembro,2.401,20010101
2002,Piau,Setembro,2.475,20020101
2003,Piau,Setembro,3.399,20030101
2004,Piau,Setembro,2.662,20040101
2005,Piau,Setembro,3.136,20050101
2006,Piau,Setembro,1.618,20060101
2007,Piau,Setembro,4.078,20070101
2008,Piau,Setembro,1.472,20080101
2009,Piau,Setembro,1.709,20090101
2010,Piau,Setembro,5.392,20100101
2011,Piau,Setembro,4.402,20110101
2012,Piau,Setembro,4.479,20120101
2013,Piau,Setembro,2.311,20130101
2014,Piau,Setembro,2.536,20140101
2015,Piau,Setembro,5.828,20150101
2016,Piau,Setembro,1.394,20160101
2017,Piau,Setembro,3.422,20170101
1998,Piau,Outubro,2.586,19980101
1999,Piau,Outubro,1.438,19990101
2000,Piau,Outubro,2.558,20000101
2001,Piau,Outubro,3.742,20010101
2002,Piau,Outubro,2.757,20020101
2003,Piau,Outubro,2.332,20030101
2004,Piau,Outubro,2.144,20040101
2005,Piau,Outubro,3.263,20050101
2006,Piau,Outubro,1.443,20060101
2007,Piau,Outubro,2.331,20070101
2008,Piau,Outubro,1.83,20080101
2009,Piau,Outubro,913,20090101
2010,Piau,Outubro,3.863,20100101
2011,Piau,Outubro,1.484,20110101
2012,Piau,Outubro,2.506,20120101
2013,Piau,Outubro,1.269,20130101
2014,Piau,Outubro,1.788,20140101
2015,Piau,Outubro,4.068,20150101
2016,Piau,Outubro,2.598,20160101
2017,Piau,Outubro,3.004,20170101
1998,Piau,Novembro,424,19980101
1999,Piau,Novembro,334,19990101
2000,Piau,Novembro,450,20000101
2001,Piau,Novembro,1.484,20010101
2002,Piau,Novembro,1.174,20020101
2003,Piau,Novembro,1.248,20030101
2004,Piau,Novembro,1.798,20040101
2005,Piau,Novembro,1.599,20050101
2006,Piau,Novembro,740,20060101
2007,Piau,Novembro,939,20070101
2008,Piau,Novembro,594,20080101
2009,Piau,Novembro,1.336,20090101
2010,Piau,Novembro,1.417,20100101
2011,Piau,Novembro,825,20110101
2012,Piau,Novembro,447,20120101
2013,Piau,Novembro,640,20130101
2014,Piau,Novembro,717,20140101
2015,Piau,Novembro,897,20150101
2016,Piau,Novembro,1.126,20160101
2017,Piau,Novembro,449,20170101
1998,Piau,Dezembro,119,19980101
1999,Piau,Dezembro,74,19990101
